rteno,BCR,obs_species_2010,est_species_2010,obs_species_2011,est_species_2011,obs_species_2012,est_species_2012,obs_species_2013,est_species_2013,obs_species_2014,est_species_2014
49050,12,,,,,68,78,54,67,59,73
49051,12,62,104,59,75,55,66,52,68,55,82
49052,12,,,,,40,47,42,52,40,52
49053,23,,,,,,,,,33,41
49055,23,63,87,61,80,60,90,65,84,58,67
49057,22,49,58,54,68,51,86,49,59,53,65
49058,23,57,67,67,85,63,74,66,76,,
49059,12,,,,,69,80,73,90,,
49061,12,,,63,96,57,97,61,102,67,92
49063,23,57,69,53,64,52,58,,,51,60
49070,12,73,97,62,83,65,91,71,81,62,66
49073,23,45,69,37,44,37,54,34,45,36,52
49126,12,45,60,35,46,33,40,38,48,37,56
49128,12,,,64,90,,,52,64,,
49131,23,72,86,74,110,74,90,70,96,69,93
49134,23,60,73,55,65,56,63,51,55,54,65
49143,12,64,91,,,,,,,,
49146,12,42,76,41,66,39,64,36,46,35,53
49162,12,,,69,86,71,87,71,90,,
49165,23,63,75,55,86,61,72,51,58,56,69
49168,23,,,45,51,,,,,,
49172,23,40,47,35,58,35,63,35,57,,
49230,12,77,96,63,95,,,,,,
49267,23,,,,,,,,,62,95
50001,23,68,104,67,87,62,83,63,97,,
50003,11,37,48,35,63,33,58,39,52,41,64
50004,11,37,47,34,48,33,55,34,49,,
50006,22,46,62,,,,,,,,
50008,22,46,59,47,64,48,57,43,69,47,60
50009,23,58,79,51,70,61,74,60,71,66,86
50010,11,37,59,40,58,38,49,38,53,36,43
50011,11,,,63,98,68,101,,,55,77
50012,11,43,74,40,70,40,50,39,48,40,61
50013,11,41,56,,,40,49,46,52,37,57
50014,11,,,40,73,31,46,33,46,,
50015,23,70,85,73,103,71,89,71,86,62,72
50016,23,52,67,48,61,51,64,57,97,47,65
50017,23,46,55,47,61,47,62,,,58,67
50019,11,60,88,67,90,66,85,57,71,56,87
50020,11,52,68,42,52,50,101,52,73,57,86
50021,11,,,47,73,49,58,44,76,40,44
50022,12,,,80,100,79,123,74,91,,
50023,12,,,,,,,74,86,68,82
50024,12,74,92,63,101,66,103,63,99,62,81
50025,12,,,,,,,68,91,61,74
50026,12,,,,,,,64,115,67,88
50027,23,,,,,65,79,,,,
50028,23,69,83,79,100,72,113,75,116,68,82
50029,11,62,70,63,79,63,78,66,84,70,105
50030,11,49,62,43,50,47,81,45,54,53,75
50031,12,48,59,44,48,46,72,45,54,48,79
50032,12,42,54,36,56,33,39,34,45,51,59
50033,12,55,94,48,58,48,55,55,65,53,76
50034,12,53,73,44,50,48,55,,,,
50035,12,60,70,62,77,65,83,63,77,67,92
50036,12,,,,,,,43,58,,
50037,12,54,71,47,86,60,84,59,75,57,100
50041,11,52,58,,,56,68,,,55,64
50042,12,64,91,53,90,56,95,66,76,74,89
50043,11,41,47,36,43,38,47,48,85,41,54
50044,11,56,70,55,61,54,65,,,56,75
50045,12,65,77,54,74,65,78,67,82,62,102
50046,12,59,77,57,70,64,76,67,98,60,73
50047,12,66,77,66,75,62,72,75,101,64,74
50048,12,41,53,46,59,43,50,48,62,42,49
50049,11,56,71,62,77,54,59,59,67,62,76
50050,11,56,66,63,75,44,49,52,62,54,66
50051,11,62,70,59,92,60,70,60,69,61,86
50052,11,,,64,72,,,,,,
50053,23,48,59,,,43,52,,,,
50054,22,,,,,44,52,50,64,43,56
50055,22,,,49,59,47,56,53,90,50,66
50056,11,,,41,49,34,53,36,61,41,59
50057,11,32,39,42,58,40,55,33,48,,
50058,22,55,67,57,67,59,92,61,78,52,63
50059,23,48,69,58,81,65,96,51,79,57,84
50060,11,44,70,,,48,77,,,42,62
50061,11,,,,,,,57,71,,
50062,11,,,,,37,69,32,42,31,40
50063,23,,,,,,,,,58,93
50064,23,80,122,64,78,61,80,54,82,57,71
50065,23,60,92,71,84,68,87,69,83,74,109
50066,11,52,61,57,72,48,61,45,51,41,49
50067,12,74,119,60,81,60,85,59,93,58,91
50068,12,71,88,81,114,,,92,123,80,116
50069,12,73,83,80,94,84,126,79,88,71,83
50070,23,,,69,105,76,89,78,93,,
50071,12,46,53,56,75,49,54,51,68,49,56
50072,12,59,81,53,61,55,63,50,57,58,69
50073,12,,,,,,,52,85,49,62
50074,12,57,78,62,94,61,68,66,85,60,72
50075,12,52,83,52,61,,,59,92,65,88
50077,11,43,51,43,60,,,38,51,33,48
50078,12,66,81,63,74,66,106,68,79,67,110
50080,12,56,78,,,58,89,46,67,51,63
50081,12,59,69,61,81,62,76,65,84,61,73
50082,12,66,100,68,93,61,75,62,74,62,71
50102,23,60,65,59,69,56,64,57,64,57,73
50139,12,,,55,89,54,67,,,49,69
50140,12,,,80,105,78,96,81,135,78,104
50153,23,,,,,,,44,49,45,54
50179,12,,,,,,,69,95,79,126
51002,27,,,53,59,,,,,,
51003,26,50,58,49,57,,,49,57,,
51006,27,64,76,,,,,,,,
51009,27,,,,,,,50,80,,
51010,27,,,,,,,44,64,,
51012,27,,,,,62,85,62,78,64,79
51014,27,,,40,47,46,64,,,,
51017,27,50,53,51,58,,,54,56,51,52
51020,27,64,73,67,74,66,73,68,90,64,72
51021,27,,,49,77,50,64,47,79,46,77
51022,27,47,59,,,49,60,53,65,53,63
51023,27,56,74,53,65,57,71,57,70,53,63
51025,27,53,90,49,70,50,68,47,55,53,73
51027,27,50,69,56,67,54,66,,,,
51028,27,45,49,,,,,,,,
51030,27,57,73,58,85,61,85,61,71,61,69
51031,27,,,,,,,54,63,,
51034,26,,,45,61,,,,,,
51035,27,49,61,,,,,,,,
51036,26,,,,,58,66,,,,
51037,27,50,64,45,50,,,51,64,,
51041,27,46,55,,,52,64,45,69,52,90
51042,27,,,52,65,55,70,,,51,65
51043,27,51,60,,,54,82,46,50,,
51101,27,,,44,52,47,72,,,,
51104,26,39,49,47,57,43,47,,,47,67
51113,27,55,69,54,74,54,60,59,81,61,74
51119,27,58,73,55,67,58,71,53,58,54,64
51205,26,,,48,67,,,44,60,,
51229,27,,,52,74,56,95,60,94,49,79
52001,26,59,86,57,78,54,68,53,63,54,74
52002,24,64,71,68,82,66,83,65,77,66,83
52003,24,57,66,58,85,54,82,,,,
52004,24,61,71,59,68,56,85,65,80,59,73
52005,24,67,82,71,83,60,73,65,90,,
52006,24,57,83,56,66,49,55,51,58,67,86
52007,26,61,68,62,80,65,75,63,77,67,102
52008,24,69,81,69,99,74,82,66,73,71,97
52010,24,57,69,55,67,62,97,60,70,53,81
52011,24,63,82,59,92,50,58,55,61,55,67
52013,24,61,100,57,74,56,82,59,103,53,64
52014,24,64,76,62,74,59,69,61,74,62,75
52015,22,61,71,60,93,69,91,61,74,,
52016,24,52,60,53,80,51,74,50,80,48,55
52018,24,,,64,93,63,84,59,71,61,70
52019,22,63,71,60,75,71,106,59,70,61,78
52020,24,72,86,64,80,69,84,69,81,,
52021,24,58,77,59,75,61,72,54,64,,
52023,22,,,,,,,59,108,,
52025,22,,,,,,,,,56,74
52027,22,50,58,54,68,49,65,52,61,49,57
52028,22,74,103,75,107,76,90,71,83,72,87
52029,22,,,48,68,,,,,,
52032,22,66,76,63,77,,,69,79,59,70
52034,22,65,71,64,91,67,76,62,95,68,79
52035,22,,,,,55,81,55,74,,
52052,24,60,67,58,67,59,67,64,100,54,74
52053,24,51,61,46,55,55,62,52,76,47,55
52054,24,41,61,39,49,41,47,50,63,48,60
52055,24,,,67,75,66,84,67,87,65,75
52056,24,63,69,65,73,62,71,62,72,59,64
52057,24,65,74,66,75,72,95,,,68,81
52058,24,53,60,55,70,55,64,54,61,57,65
52059,24,,,,,46,55,45,55,53,84
52061,24,66,90,62,69,66,74,65,75,68,79
52062,24,63,74,65,76,60,74,,,,
52064,22,,,64,102,57,69,62,89,61,92
52066,22,60,84,54,68,61,75,55,67,58,65
52067,22,54,60,57,66,56,61,60,70,62,86
52068,22,62,71,59,67,63,76,63,90,58,72
52070,22,66,72,66,77,72,98,65,82,66,87
52071,22,58,66,58,65,55,67,61,79,59,79
52109,24,52,59,64,84,56,80,55,63,58,77
52122,24,47,55,50,72,50,59,49,57,,
52124,22,64,78,65,78,59,66,55,68,62,72
52126,22,66,96,66,84,63,71,66,80,69,94
52130,22,40,48,44,59,43,54,41,51,,
52131,22,63,90,58,72,51,61,56,87,56,71
52133,22,62,70,62,98,61,92,51,58,52,59
52136,22,51,59,,,,,39,49,38,64
52137,22,61,77,,,63,98,61,77,53,65
52139,22,,,,,,,,,52,57
52143,22,,,,,,,48,58,53,63
52144,22,,,,,,,48,61,,
52145,24,,,,,,,58,94,60,68
52149,24,,,,,,,56,80,,
52150,24,,,,,,,56,74,62,75
52154,24,,,,,,,,,55,82
52156,24,,,,,,,,,50,55
52158,26,,,,,,,46,53,51,66
52160,24,,,,,,,,,54,76
52162,24,,,,,,,,,43,59
52212,24,,,,,,,37,47,64,96
52317,22,,,62,74,,,,,,
53001,10,53,72,56,70,44,52,55,68,,
53002,10,80,137,81,109,77,96,86,149,79,108
53004,11,46,56,,,41,47,,,42,72
53006,11,,,32,42,32,42,36,56,33,41
53007,11,53,92,47,82,52,97,48,81,48,86
53008,11,,,47,65,44,58,43,52,44,81
53009,11,38,55,45,72,37,61,37,47,44,70
53010,11,,,,,39,61,30,45,33,41
53011,11,,,,,37,43,31,52,25,27
53012,11,36,54,38,44,33,43,53,85,51,64
53013,10,45,65,41,50,45,63,43,68,46,83
53014,10,52,77,60,110,,,,,48,72
53015,10,49,59,53,70,56,74,,,,
53016,10,70,125,65,112,54,88,66,118,67,129
53017,11,46,87,35,49,40,52,37,51,39,71
53018,17,60,79,68,113,67,124,55,85,51,91
53019,17,29,55,39,54,31,59,39,79,36,66
53020,17,39,49,,,,,42,79,,
53021,17,47,87,44,76,44,68,,,,
53022,17,47,83,46,70,46,88,,,,
53023,17,,,34,41,35,48,,,,
53024,17,,,,,,,46,55,,
53025,10,44,66,59,102,50,89,47,79,42,55
53026,10,39,47,40,63,38,58,39,56,47,79
53027,10,61,78,59,109,57,78,55,103,57,77
53028,10,39,67,44,100,41,68,32,43,38,65
53029,17,43,80,,,43,80,,,54,100
53030,17,35,44,,,38,45,,,,
53033,17,,,,,,,45,58,57,109
53034,17,34,49,,,39,61,,,44,77
53035,17,28,36,,,31,41,,,27,33
53036,10,54,85,49,68,63,107,63,111,67,96
53039,10,59,77,46,62,52,63,57,69,56,68
53040,10,66,85,63,105,68,89,62,103,60,87
53041,10,47,65,44,78,39,47,49,63,,
53042,17,54,73,,,,,,,,
53043,17,37,65,,,32,41,54,86,57,73
53044,17,,,,,,,,,45,60
53045,17,,,,,35,48,,,39,50
53046,10,51,99,46,78,52,90,39,47,37,43
53047,10,42,69,,,,,44,55,40,60
53063,10,34,49,,,35,42,31,36,37,48
53064,10,67,93,65,85,65,85,74,111,66,94
53074,10,52,69,51,99,56,84,55,88,54,75
53075,10,39,62,38,50,34,43,36,60,38,48
53086,10,39,46,42,50,48,83,52,62,50,68
53087,10,46,55,45,53,53,68,,,45,56
53097,10,51,67,51,65,48,58,48,58,,
53101,10,,,43,56,,,,,56,104
53103,10,50,86,48,73,56,90,53,86,59,113
53105,11,,,41,64,51,68,49,99,52,91
53131,17,32,50,,,,,45,55,35,44
53137,10,60,82,51,61,52,65,55,81,57,97
53138,10,57,80,51,67,51,85,,,,
53176,10,37,59,35,42,34,40,36,47,37,45
54001,22,54,64,52,69,58,77,50,62,53,60
54002,22,41,50,,,,,53,63,47,68
54004,19,,,28,43,29,38,35,58,31,50
54005,19,,,32,39,,,,,43,77
54006,19,,,,,,,34,37,34,51
54007,19,51,65,53,89,55,83,49,59,53,64
54008,19,42,60,42,52,,,44,55,,
54009,19,,,,,,,,,41,56
54010,19,,,,,,,43,53,48,62
54011,19,,,,,,,48,73,50,81
54012,22,36,42,37,67,45,59,48,67,46,56
54013,22,,,,,48,53,54,68,47,55
54014,19,44,64,39,47,46,54,44,55,47,55
54015,22,54,72,51,65,,,46,52,50,60
54017,19,,,,,,,47,57,45,57
54018,19,,,54,62,53,63,,,47,52
54020,18,45,63,49,58,54,88,50,61,45,53
54021,18,,,,,32,40,,,31,50
54022,22,59,97,54,80,51,78,46,56,51,87
54023,11,,,,,,,51,54,,
54025,11,46,67,38,59,,,,,49,59
54026,11,,,,,,,36,40,42,55
54027,19,44,57,45,75,44,63,,,,
54028,19,,,52,79,,,52,61,53,83
54029,19,,,,,31,55,27,35,26,33
54031,19,54,90,46,60,54,82,51,70,48,64
54032,19,,,50,57,46,54,45,63,49,72
54033,18,,,,,19,20,,,24,47
54034,19,46,85,45,67,42,68,,,36,74
54035,19,62,73,64,87,53,60,53,57,56,65
54036,18,,,,,,,31,56,29,39
54037,19,46,62,44,70,,,37,41,35,56
54038,19,40,51,,,,,,,37,44
54039,19,44,53,47,71,48,68,57,86,43,73
54040,18,42,76,49,111,34,59,45,66,39,55
54041,19,54,83,51,88,59,87,45,64,44,58
54042,19,,,,,,,,,44,85
54043,18,24,33,27,36,26,44,27,33,18,30
54044,18,46,62,48,65,41,70,46,57,51,73
54116,19,,,45,73,42,49,,,39,47
54119,19,51,77,,,,,,,,
54124,11,37,49,32,43,,,28,33,,
54130,18,35,44,43,54,39,45,48,59,,
54203,22,,,,,,,43,49,51,62
54219,19,,,,,,,,,52,60
55002,9,,,,,,,27,35,23,32
55004,9,,,27,34,25,46,29,41,23,38
55006,9,,,,,,,51,77,47,68
55007,9,26,47,30,47,29,53,28,47,24,30
55009,9,,,,,,,33,42,28,44
55011,9,30,51,,,,,27,53,,
55012,9,,,,,,,21,46,24,54
55015,9,30,43,,,,,36,52,37,51
55016,9,,,25,34,26,50,20,30,27,46
55017,9,23,36,29,40,,,27,34,24,32
55018,9,33,42,38,48,37,52,32,35,31,38
55022,9,31,48,36,77,22,32,32,49,35,79
55023,9,,,,,44,84,,,42,92
55024,9,,,,,31,60,22,40,21,34
55027,9,25,40,25,31,25,44,31,56,23,47
55028,9,17,19,20,27,14,15,15,22,15,18
55029,33,16,21,,,12,34,11,26,8,13
55031,33,17,24,19,21,15,20,16,18,15,20
55032,33,21,26,,,,,12,27,,
55033,33,28,43,23,29,19,36,20,24,17,19
55037,9,,,,,58,96,64,82,64,88
55045,9,33,64,24,30,,,,,23,34
55101,9,44,102,40,79,46,100,44,93,42,69
55103,9,,,,,,,44,56,,
55114,9,42,65,40,53,37,45,37,70,38,48
55121,9,10,17,15,18,12,13,10,12,16,18
55130,9,10,11,15,17,10,13,17,32,15,22
55143,9,53,73,,,,,33,43,,
55208,9,,,,,,,19,31,12,14
58001,14,50,70,44,60,62,86,61,75,51,81
58003,14,62,74,59,69,62,76,59,67,72,91
58004,30,57,62,58,90,60,73,59,70,60,83
58005,14,61,74,53,84,59,85,58,68,56,63
58006,30,55,63,57,71,51,72,58,72,59,73
58007,14,72,105,60,80,66,74,61,104,63,76
58008,30,59,87,61,74,66,100,70,88,68,87
58009,14,61,67,64,77,64,74,60,77,60,65
58010,14,47,57,48,55,51,70,53,76,55,71
58011,14,65,83,58,88,52,62,61,77,57,80
58012,14,57,84,,,49,67,47,84,44,55
58013,14,75,123,71,97,70,85,61,85,73,108
58014,14,68,85,62,75,76,101,71,81,64,76
58015,14,53,68,54,80,54,67,,,,
58017,14,53,65,56,92,52,60,51,65,51,72
58018,14,55,93,,,58,86,54,70,58,83
58019,14,68,84,67,86,62,94,66,78,64,77
58020,14,57,70,49,62,46,50,51,59,,
58021,14,56,78,57,78,62,71,62,72,62,67
58022,14,57,67,,,52,62,54,77,50,73
58023,14,49,70,,,42,73,49,59,,
58102,30,58,70,63,71,54,61,59,67,58,67
58116,14,43,55,45,72,45,69,,,39,48
59001,30,45,52,41,50,42,51,51,60,45,55
59002,30,46,52,46,56,46,71,44,55,50,58
59003,30,53,80,54,66,62,91,55,103,65,84
59010,29,,,45,50,49,54,55,72,49,59
59013,30,47,63,49,86,44,53,44,52,45,54
59018,28,,,,,,,,,61,100
59019,28,61,79,61,76,62,82,63,81,65,79
59020,28,53,63,55,66,51,62,48,54,54,64
59021,28,62,75,58,70,62,82,65,77,58,71
59023,29,56,68,58,66,,,60,72,,
59024,29,,,58,89,55,66,60,75,56,65
59025,30,,,45,67,,,38,58,39,49
59026,30,47,57,,,,,47,58,,
59027,30,,,,,,,53,74,48,58
59028,30,37,69,36,51,31,37,,,,
59029,30,,,,,,,,,54,68
59030,30,,,35,45,37,45,36,44,37,39
59104,30,57,68,50,54,54,75,,,,
59107,30,63,78,42,68,,,,,,
59114,29,53,63,54,81,46,56,50,57,47,55
59116,28,65,75,56,61,69,92,63,90,59,69
59204,30,,,,,,,58,69,61,90
59231,30,69,88,69,82,,,55,65,,
60002,16,21,27,17,19,22,30,19,23,17,22
60003,16,62,81,59,112,44,67,52,84,46,66
60004,16,66,80,65,80,63,79,70,98,47,67
60005,18,32,45,34,41,38,64,,,43,57
60006,18,32,40,37,66,,,32,45,34,47
60008,16,26,42,21,25,22,24,20,24,22,30
60009,16,41,65,45,85,42,51,41,75,44,88
60010,16,61,106,53,78,51,66,54,66,58,101
60013,16,44,53,36,44,34,43,41,55,,
60017,18,38,56,32,49,40,55,41,67,37,72
60018,18,23,24,29,34,23,31,29,46,,
60019,16,36,74,34,56,31,58,30,43,28,43
60020,34,36,53,38,60,37,60,34,88,33,49
60022,35,59,73,53,72,49,67,51,68,49,64
60023,35,35,66,29,47,28,31,21,43,26,33
60024,18,28,36,24,29,24,30,21,29,23,25
60025,35,37,46,37,46,39,49,35,42,39,55
60027,35,41,51,35,39,38,47,38,65,37,44
60028,35,49,65,49,74,54,87,56,69,50,57
60029,35,24,29,22,35,18,21,23,29,21,26
60031,35,36,56,32,61,31,39,32,58,29,46
60051,16,19,31,18,24,12,17,14,31,16,22
60052,16,38,43,39,57,35,43,45,54,35,48
60056,18,28,36,33,50,30,57,27,33,26,40
60057,16,47,73,48,86,46,58,44,67,42,50
60058,16,,,57,73,57,73,,,,
60059,16,40,46,44,58,37,55,43,60,33,43
60060,16,73,103,75,95,76,108,81,132,76,101
60061,18,42,51,41,59,46,65,,,41,53
60062,18,33,51,31,44,23,27,29,35,28,37
60065,16,35,41,34,42,35,46,39,57,30,33
60067,16,28,47,31,48,28,42,32,44,31,35
60068,18,28,35,27,45,26,33,31,49,27,32
60069,34,53,94,51,76,36,68,44,83,39,85
60070,34,41,54,35,53,40,65,36,56,42,66
60071,35,51,83,44,53,45,56,43,56,49,84
60072,35,43,57,45,64,,,,,46,59
60073,35,33,43,39,73,31,36,33,38,34,39
60074,18,20,32,,,20,33,23,26,26,31
60075,35,,,57,98,59,89,63,91,,
60076,34,60,98,41,58,47,77,,,46,56
60078,35,47,53,48,64,44,56,62,85,59,78
60079,35,30,39,22,42,26,45,28,45,36,66
60080,18,29,38,30,33,32,35,33,38,31,34
60081,34,32,41,31,48,32,38,29,36,29,52
60082,35,28,32,31,40,25,28,34,41,29,36
60107,16,44,64,39,66,41,50,30,41,37,52
60111,18,43,73,46,69,51,65,42,67,51,75
60112,18,25,32,31,41,30,36,,,33,54
60114,16,18,31,18,20,25,33,19,25,18,20
60115,35,29,53,23,47,28,50,27,59,28,49
60116,16,49,66,40,59,47,61,42,62,38,67
60126,35,35,51,20,27,28,41,21,41,31,58
60130,18,26,32,23,30,,,19,23,20,24
60153,16,50,70,59,99,54,65,54,70,57,83
60154,16,72,114,78,116,75,132,79,142,76,96
60155,18,40,49,47,71,41,73,34,43,42,65
60158,16,,,,,,,,,54,71
60164,34,27,52,30,48,27,33,27,38,32,55
60166,16,22,28,23,43,21,28,31,41,29,43
60201,16,51,66,47,69,,,42,50,,
60221,35,31,37,,,29,34,23,41,26,33
60263,16,18,33,25,48,20,26,20,22,24,40
60301,16,,,,,,,,,45,58
61001,30,,,,,,,,,37,42
61002,30,,,,,,,,,32,38
61003,30,45,56,42,55,,,49,59,48,56
61004,30,,,,,29,38,38,64,,
61005,30,,,,,24,31,,,,
61008,13,67,77,67,75,68,77,66,96,69,97
61009,13,53,79,59,91,47,66,44,78,,
61011,28,49,66,47,69,45,51,49,58,,
61013,28,,,59,80,,,,,,
61014,13,55,67,64,101,57,68,50,60,,
61017,14,56,65,,,61,77,45,52,,
61018,13,61,73,54,60,,,,,,
61022,28,68,80,59,77,69,116,67,86,63,86
61024,28,76,89,74,91,69,83,76,88,78,117
61025,28,61,81,69,96,66,103,65,79,69,100
61026,13,,,,,,,,,66,77
61027,28,56,81,59,81,65,97,54,61,,
61028,28,66,98,70,84,73,120,63,83,72,91
61029,28,64,78,66,82,64,99,68,86,71,95
61030,28,56,66,49,65,,,49,70,53,79
61031,28,69,119,60,85,62,108,63,92,61,79
61032,28,86,118,80,93,77,86,80,100,,
61033,28,73,125,80,132,73,106,71,114,75,108
61034,28,62,105,62,99,62,87,,,64,76
61035,13,63,94,70,97,65,77,,,,
61037,13,,,,,,,,,52,58
61038,28,57,97,52,65,,,51,64,47,54
61039,28,,,,,,,,,66,91
61041,28,72,88,64,91,74,129,64,72,56,66
61043,13,50,73,,,,,,,60,74
61044,28,62,74,57,77,67,90,73,98,63,82
61045,28,67,89,64,80,61,92,60,81,,
61047,13,65,77,65,94,60,67,62,70,57,71
61048,13,49,71,49,55,50,56,48,56,44,48
61049,13,71,83,73,85,77,85,72,84,76,89
61050,13,71,85,70,97,71,85,65,82,65,70
61051,13,,,49,66,,,,,,
61052,13,61,78,57,71,60,67,62,83,65,101
61053,13,57,66,62,81,57,67,58,70,57,66
61055,28,54,67,50,64,50,64,47,57,45,68
61056,28,54,67,59,82,55,80,69,107,65,97
61057,13,62,90,61,89,53,81,58,102,51,61
61058,13,62,88,58,79,56,69,62,93,62,70
61059,13,68,112,67,100,61,76,63,78,68,104
61060,28,,,60,103,,,53,83,,
61062,13,61,81,54,83,,,54,76,70,112
61063,13,,,,,57,84,,,,
61064,13,45,55,46,54,45,50,39,44,48,53
61065,13,54,75,65,88,60,77,63,94,52,62
61066,13,55,69,52,65,62,86,54,83,56,64
61067,13,65,98,50,83,,,60,70,,
61068,13,35,44,,,,,49,70,55,81
61069,13,,,48,84,,,50,56,,
61070,13,52,61,53,70,50,76,55,83,58,97
61071,13,61,74,61,72,63,95,,,,
61072,14,,,,,,,,,61,69
61073,14,63,78,,,61,93,,,56,72
61075,14,64,113,53,64,58,75,,,58,78
61077,14,49,94,,,36,74,36,49,33,45
61079,13,62,83,,,,,,,,
61080,13,46,58,48,60,46,52,54,70,,
61081,14,63,88,,,,,,,44,52
61083,14,58,75,,,,,,,,
61084,14,53,67,52,74,49,60,48,59,,
61085,14,,,49,76,57,67,,,56,69
61087,14,68,104,74,126,,,,,74,105
61089,13,70,105,66,75,63,84,65,75,69,92
61090,13,57,73,54,65,53,69,46,66,47,56
61091,13,50,56,63,100,52,65,,,46,66
61092,14,47,56,47,58,,,,,39,50
61093,14,59,76,53,65,51,64,63,79,,
61097,14,62,101,50,80,53,88,53,81,64,86
61098,14,59,72,73,94,67,88,65,84,65,81
61100,14,54,66,59,92,55,77,56,72,,
61102,13,79,93,75,107,75,94,78,94,78,92
61103,13,65,76,60,75,49,61,66,105,56,80
61109,13,57,87,54,64,58,73,,,62,92
61111,28,55,74,53,67,52,83,54,65,55,77
61113,13,77,103,67,70,75,93,,,,
61120,13,49,55,48,55,58,78,55,69,50,55
61121,28,57,92,54,68,56,72,51,69,56,79
61123,28,72,82,71,87,69,92,75,90,77,106
61127,28,,,,,,,,,56,61
61136,28,72,101,70,96,73,87,70,98,74,115
61146,28,,,58,67,61,83,,,56,78
61154,13,33,59,30,40,,,32,45,28,44
61182,14,47,66,48,58,45,66,47,58,48,59
61199,14,72,115,67,100,70,88,64,80,,
61207,30,46,56,44,60,48,78,49,62,43,65
61210,28,,,49,59,47,68,48,55,,
61301,14,,,55,75,50,64,,,54,65
63002,27,74,91,80,112,83,102,79,91,80,97
63003,27,64,93,61,81,60,81,57,70,60,100
63004,27,48,79,57,64,64,81,55,61,67,79
63005,27,43,59,54,65,51,83,47,69,,
63010,27,72,77,72,80,77,90,67,97,76,89
63011,27,56,83,54,67,52,65,52,60,50,70
63012,29,49,58,47,57,46,66,44,50,48,57
63013,27,51,57,54,68,50,63,,,44,47
63014,29,54,62,50,79,59,71,58,69,54,77
63015,29,,,62,79,58,84,59,66,58,66
63017,29,59,70,60,76,54,58,56,65,61,102
63020,28,,,,,,,59,87,54,66
63022,28,,,47,60,44,54,47,61,41,58
63023,27,72,83,69,92,71,84,73,81,,
63024,29,77,108,73,100,66,74,68,84,77,94
63025,29,62,71,63,85,69,96,66,73,70,103
63027,29,49,60,51,56,47,54,47,54,48,77
63028,29,,,46,74,47,56,49,58,55,79
63030,28,38,46,,,51,56,49,57,,
63031,28,42,51,41,52,51,63,51,59,57,79
63101,27,85,98,90,114,79,100,84,110,85,125
63106,27,54,63,61,71,57,74,,,,
63107,27,54,78,,,62,99,62,96,56,75
63108,27,67,93,62,66,63,71,66,72,68,90
63109,27,75,80,78,87,76,84,81,109,83,106
63116,29,57,68,45,55,54,89,41,49,49,71
63118,29,,,53,58,46,56,,,,
63119,29,47,77,50,68,51,60,48,57,,
63121,28,51,61,53,61,51,64,50,83,51,62
63123,27,,,,,,,,,73,80
63126,29,,,,,55,76,53,60,55,64
63202,27,70,91,74,96,68,99,78,104,65,98
63203,27,,,53,69,51,59,60,69,59,63
63204,27,59,66,60,69,59,68,62,71,61,69
63205,27,64,86,63,71,59,67,66,96,61,70
63206,27,59,67,57,66,,,,,,
63207,27,58,83,56,64,56,65,63,74,55,76
63208,27,44,49,50,65,44,55,44,78,48,63
63210,27,58,65,60,70,59,68,61,72,60,69
63212,27,53,59,54,59,63,105,55,85,61,69
63213,27,54,64,56,69,57,67,,,59,80
63215,29,56,65,52,59,,,,,,
63216,29,55,68,52,69,47,52,,,,
63217,29,59,91,55,61,55,61,60,83,64,106
63218,29,52,59,57,74,54,64,48,66,49,54
63219,29,,,46,54,49,76,,,,
63220,28,56,81,,,,,69,106,58,87
63221,28,44,49,49,59,49,61,46,51,44,53
63222,28,42,55,46,64,43,48,48,54,46,67
63223,27,,,63,73,62,70,63,73,60,73
63224,27,86,102,87,97,82,91,84,96,89,99
63225,29,55,70,52,58,61,72,56,67,57,67
63226,29,,,45,61,,,,,,
63227,29,,,60,71,59,67,61,78,65,93
63228,28,63,93,61,69,63,70,61,75,60,79
63230,27,68,80,64,81,60,65,64,83,63,69
63231,27,62,83,66,72,68,78,,,66,72
63232,29,73,81,78,114,70,91,79,101,82,111
63233,29,48,55,48,56,59,87,52,60,51,76
63234,29,,,61,67,64,69,60,75,64,71
63301,28,71,102,71,88,68,80,55,67,68,89
63302,29,,,49,62,49,65,54,71,49,59
63303,29,48,53,63,75,58,65,56,63,50,57
63304,29,64,71,65,74,66,73,65,74,62,72
63305,27,64,69,68,73,69,75,65,71,68,80
63306,27,52,61,63,72,58,68,56,84,62,83
63307,28,36,44,38,59,41,67,,,30,35
63308,28,49,69,52,62,57,73,61,103,56,70
63309,29,45,55,,,42,52,38,58,,
63310,29,,,,,39,41,,,,
63311,27,52,60,52,66,55,67,55,62,56,65
63312,27,54,60,59,71,57,82,61,70,58,83
63313,27,60,86,68,79,59,69,65,76,61,95
63314,27,60,69,60,66,64,89,59,67,56,67
63315,27,50,83,59,71,50,63,43,66,,
63316,27,49,60,,,56,77,,,,
63317,27,48,54,52,64,,,48,54,,
63318,29,47,60,49,60,42,47,50,60,50,60
63329,27,62,83,60,66,67,90,,,68,84
64001,11,60,71,64,72,69,105,67,83,64,75
64002,11,55,95,52,57,48,80,52,66,54,84
64004,11,70,86,66,75,65,80,61,73,60,70
64005,11,70,98,80,91,69,78,70,86,77,105
64006,11,66,75,53,67,44,57,55,66,54,83
64007,11,58,69,57,71,49,59,56,86,51,85
64008,11,,,67,110,,,62,78,63,74
