rteno,BCR,obs_species_2010,est_species_2010,obs_species_2011,est_species_2011,obs_species_2012,est_species_2012,obs_species_2013,est_species_2013,obs_species_2014,est_species_2014
14420,15,,,38,47,,,45,70,,
14421,15,53,87,,,48,79,46,78,44,54
14422,15,60,79,57,80,57,74,61,76,58,73
14423,15,54,85,,,,,,,,
14426,15,,,,,,,33,39,31,37
14427,32,,,,,44,81,,,48,100
14428,5,,,32,40,30,44,,,31,44
14429,5,,,25,41,26,33,27,35,32,53
14430,9,38,48,,,41,72,,,37,45
14431,5,51,72,,,,,42,61,,
14434,15,39,42,40,52,41,51,42,66,50,69
14435,5,,,53,101,55,96,47,61,57,97
14436,15,49,56,56,84,56,96,51,66,58,96
14503,32,32,40,40,69,48,61,46,67,46,75
17001,10,50,77,44,55,52,77,39,79,42,80
17002,10,40,54,34,42,42,60,40,58,36,48
17003,16,79,104,67,87,66,91,75,111,70,100
17004,16,40,50,36,49,,,37,63,38,54
17005,18,,,,,14,15,15,17,,
17006,18,25,42,26,28,22,25,21,34,20,27
17007,18,,,21,25,26,54,19,20,19,29
17008,16,49,68,,,,,60,97,,
17009,16,61,112,52,66,55,67,61,71,65,81
17010,16,35,45,34,59,,,48,103,48,66
17011,16,58,95,55,76,55,67,49,56,46,60
17012,18,,,40,63,37,45,42,63,,
17013,18,19,22,21,27,24,36,18,22,,
17014,18,33,37,30,32,37,48,31,37,30,40
17015,16,,,55,73,52,64,61,83,58,79
17016,16,52,60,,,63,83,,,51,91
17017,16,66,94,65,85,67,83,60,91,58,77
17018,16,41,56,38,51,,,37,55,40,58
17019,18,26,29,29,38,18,22,17,24,21,46
17020,18,,,,,23,26,,,27,49
17021,18,23,28,19,28,21,36,19,26,20,25
17023,16,56,82,51,83,53,79,48,67,55,65
17027,18,33,46,32,40,,,,,,
17028,18,25,45,27,35,25,32,,,25,35
17031,16,47,55,42,49,47,73,47,59,43,54
17032,10,57,72,60,85,54,68,,,44,62
17033,16,45,72,38,43,,,,,,
17034,16,64,90,,,55,70,53,74,48,60
17035,18,39,59,36,41,38,57,39,49,35,39
17036,18,23,30,28,40,30,51,23,32,23,38
17037,18,29,37,25,30,31,56,23,35,26,33
17039,16,55,68,,,48,66,49,63,39,52
17040,16,46,60,37,58,46,90,38,44,34,40
17041,16,60,73,65,101,63,82,67,94,63,87
17042,18,20,21,20,23,22,29,19,26,,
17043,18,19,23,,,,,,,,
17044,18,22,25,31,43,26,30,30,42,26,30
17045,16,55,67,51,64,48,64,48,63,52,69
17046,16,54,76,56,78,65,82,66,89,63,80
17047,16,51,91,44,80,54,90,,,45,57
17049,18,25,29,21,26,,,21,25,23,26
17050,18,26,45,26,41,25,33,25,39,21,27
17051,18,,,22,28,24,32,23,28,21,25
17052,16,45,51,45,76,50,63,48,54,47,62
17055,16,55,92,59,86,48,64,46,69,56,70
17056,18,,,22,37,,,24,39,29,39
17057,18,,,,,37,64,40,61,36,64
17058,18,,,18,27,21,44,21,24,25,52
17124,16,,,,,,,,,56,77
17125,16,27,46,21,42,,,,,,
17126,18,,,,,23,28,29,35,23,51
17138,16,38,54,38,43,36,49,44,56,37,46
17153,16,,,39,53,49,84,,,45,66
17154,16,,,37,64,43,75,44,93,,
17201,10,,,33,41,,,,,,
17202,16,39,65,37,72,37,57,45,80,38,57
17203,16,55,98,54,92,57,90,60,108,60,85
17204,16,62,81,65,78,69,113,72,99,66,83
17205,18,35,46,36,48,34,67,30,38,36,54
17206,18,34,63,,,29,37,25,32,22,26
17207,18,25,29,25,40,23,27,24,28,23,34
17208,16,44,62,41,44,43,53,42,68,45,63
17209,16,45,93,41,57,49,88,40,65,44,83
17210,16,,,,,,,48,77,48,57
17211,16,28,46,34,62,32,40,30,36,33,50
17213,18,20,21,23,27,18,19,22,40,,
17214,18,,,24,28,24,29,19,26,,
17215,16,,,,,,,60,70,56,72
17216,16,42,76,39,57,,,56,70,74,95
17217,16,48,74,56,108,48,82,42,51,46,68
17218,16,39,45,44,55,42,55,,,45,55
17220,18,23,29,22,47,,,,,,
17221,18,36,75,36,66,29,36,33,44,28,56
17222,16,53,82,52,65,55,105,51,69,55,113
17223,16,68,103,59,117,64,131,61,118,56,108
17224,16,,,57,71,,,,,,
17225,16,20,23,16,19,,,26,42,32,39
17227,18,,,,,32,37,26,41,32,61
17228,18,24,29,27,45,26,32,21,23,26,30
17301,16,,,45,58,31,65,48,66,53,112
17302,10,33,37,44,73,43,69,44,63,42,57
17303,16,46,82,47,65,45,59,43,48,43,74
17304,16,36,52,33,61,,,32,50,49,63
17305,18,,,,,41,72,34,57,45,82
17306,18,45,65,43,60,41,50,42,57,40,47
17307,18,32,44,34,44,46,73,40,58,47,80
17308,16,37,54,,,,,65,103,,
17309,16,54,86,46,72,54,69,56,73,59,74
17311,16,,,,,,,47,61,49,69
17312,18,29,37,28,32,27,36,29,37,26,28
17313,18,,,,,32,48,,,,
17314,18,,,32,56,29,36,27,33,25,29
17315,16,35,67,34,47,39,62,36,64,42,74
17316,16,,,,,,,,,74,130
17317,16,38,57,40,62,43,77,34,41,37,53
17318,16,58,82,55,99,66,109,63,83,58,92
17319,18,33,58,24,38,22,37,26,38,22,32
17320,18,24,27,,,,,,,30,47
17321,18,19,23,20,21,22,31,22,28,23,48
17322,16,53,83,54,67,55,73,56,95,60,99
17324,16,,,45,80,,,,,,
17326,16,,,,,44,55,37,41,42,50
17327,18,29,53,23,24,16,17,26,52,22,28
17328,18,27,40,29,34,,,,,,
17351,16,61,100,55,80,48,66,,,,
17352,10,59,83,58,73,,,66,95,71,107
17354,16,,,,,56,69,,,,
17358,16,,,,,25,30,,,,
17359,16,,,68,96,72,126,77,109,74,100
17361,16,44,56,36,43,40,50,,,42,61
17362,18,51,64,54,69,47,71,48,57,53,87
17365,16,,,56,72,65,98,61,79,60,77
17366,16,47,72,47,74,54,77,54,67,,
17367,16,51,69,41,51,40,51,48,61,48,59
17368,16,55,80,,,45,56,48,68,46,67
17372,16,58,92,50,78,47,77,53,79,45,74
17373,16,42,52,,,39,45,,,,
17374,16,46,59,45,65,,,,,31,45
17375,16,52,91,51,78,46,58,46,68,41,75
17376,16,,,68,82,,,,,62,112
17410,16,46,77,44,64,45,66,39,46,43,60
17412,18,26,46,21,24,,,21,31,20,24
17419,18,32,53,35,44,,,32,39,38,47
17422,16,63,84,,,,,74,111,58,83
17423,16,,,,,49,79,50,70,58,72
17425,16,17,21,17,22,,,,,,
